epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.14925,1.57733,2.66776,1.75825,0.00283,0.80952,0.15402,0.03937,2.61649,3.67696,2.91188,0.00056,0.00056,0.00056
2,9.56792,1.58461,2.11933,1.73822,0.06275,0.2381,0.04256,0.00833,3.11221,5.08027,3.45468,0.00110238,0.00110238,0.00110238
3,12.9623,1.58119,2.03792,1.73424,0.08059,0.09524,0.01865,0.00752,3.46313,6.37983,6.02067,0.00160648,0.00160648,0.00160648
4,16.3391,1.65991,2.02973,1.79797,0.75532,0.2381,0.28636,0.08187,2.87508,3.47813,4.19001,0.001802,0.001802,0.001802
5,19.7733,1.65328,2.01287,1.81711,0.2006,0.14286,0.04199,0.01796,3.15736,4.18561,3.97017,0.001736,0.001736,0.001736
6,23.0836,1.65127,1.97488,1.83581,0.07016,0.09524,0.0194,0.00617,3.38227,9.30214,4.17222,0.00167,0.00167,0.00167
7,26.3963,1.59318,1.79893,1.73626,0.30781,0.42857,0.29227,0.12792,2.10378,3.15222,2.42439,0.001604,0.001604,0.001604
8,29.7321,1.58985,1.80742,1.75472,0.56972,0.47619,0.50039,0.22089,1.80031,3.2112,2.24021,0.001538,0.001538,0.001538
9,33.085,1.52629,1.70579,1.70989,0.7164,0.61905,0.59039,0.20948,2.18995,2.86179,2.69547,0.001472,0.001472,0.001472
10,36.4767,1.58148,1.7035,1.73697,0.68499,0.61905,0.63132,0.2398,1.90225,1.99941,2.1566,0.001406,0.001406,0.001406
11,39.8589,1.49236,1.61748,1.66572,0.77675,0.66294,0.74382,0.40578,1.81672,1.5474,2.31491,0.00134,0.00134,0.00134
12,43.2552,1.48701,1.54322,1.6861,0.4881,0.50002,0.44011,0.1736,2.31836,2.2916,2.73618,0.001274,0.001274,0.001274
13,46.6224,1.46317,1.51255,1.64084,0.8791,0.47619,0.64098,0.27206,2.14823,1.71684,2.32301,0.001208,0.001208,0.001208
14,49.9997,1.38404,1.3928,1.58893,0.72114,0.7619,0.72406,0.43148,1.55,1.24009,1.82066,0.001142,0.001142,0.001142
15,53.4122,1.3607,1.34884,1.5637,0.99609,0.66667,0.76068,0.44324,1.62767,1.51688,2.08167,0.001076,0.001076,0.001076
16,56.7959,1.38526,1.3671,1.5689,0.83164,0.71429,0.74181,0.43653,1.6107,1.52436,1.95245,0.00101,0.00101,0.00101
17,60.1697,1.31399,1.2922,1.52459,0.80729,0.79837,0.74901,0.42272,1.69229,1.23653,2.09748,0.000944,0.000944,0.000944
18,63.5558,1.30908,1.29626,1.55147,0.72684,0.71429,0.79812,0.4636,1.51218,1.4674,1.78833,0.000878,0.000878,0.000878
19,66.9647,1.34434,1.24402,1.53593,0.7064,0.80952,0.76964,0.44407,1.56511,1.37572,1.89287,0.000812,0.000812,0.000812
20,70.3496,1.30654,1.17908,1.50008,0.97712,0.80952,0.95804,0.53703,1.5196,1.01602,1.79523,0.000746,0.000746,0.000746
21,73.9752,1.21233,1.1438,1.59872,0.91147,0.66667,0.74513,0.45418,1.53248,1.48414,1.98448,0.00068,0.00068,0.00068
22,77.3392,1.18913,1.04415,1.61125,0.69239,0.66667,0.70896,0.35715,1.53651,1.61804,1.78037,0.000614,0.000614,0.000614
23,80.7133,1.12989,0.93454,1.51962,1,0.73889,0.92084,0.56417,1.36689,1.06199,1.62588,0.000548,0.000548,0.000548
24,84.1037,1.07311,0.87612,1.4875,0.89636,0.82425,0.93612,0.5966,1.26162,0.85872,1.46311,0.000482,0.000482,0.000482
25,87.4963,1.0584,0.79515,1.44823,0.98979,0.85714,0.98295,0.63036,1.35401,0.78197,1.568,0.000416,0.000416,0.000416
26,90.9014,1.05776,0.81192,1.45974,0.95479,0.71429,0.86582,0.48966,1.45511,0.89839,1.64973,0.00035,0.00035,0.00035
27,94.2882,1.03886,0.76326,1.40619,0.934,0.85714,0.90194,0.5804,1.28323,0.86461,1.49647,0.000284,0.000284,0.000284
28,97.6608,0.99374,0.72622,1.40184,0.94391,0.85714,0.94192,0.61885,1.20172,0.78215,1.46571,0.000218,0.000218,0.000218
29,101.067,0.98852,0.72126,1.37978,1,0.90348,0.99,0.63546,1.22955,0.68962,1.48693,0.000152,0.000152,0.000152
30,104.447,0.99016,0.70558,1.39507,0.9061,1,0.98676,0.67178,1.22799,0.69015,1.4623,8.6e-05,8.6e-05,8.6e-05
